customer_id,phone_number,email_id,age,gender,city_tier,acquisition_channel
1,7242685906,customer1@example.com,36,Male,2,Influencer
2,9249394459,customer2@example.com,23,Male,1,Instagram
3,7957787190,customer3@example.com,22,Male,3,Google Ads
4,7911296105,customer4@example.com,27,Female,3,Referral
5,9825204936,customer5@example.com,18,Male,2,Organic
6,9596436657,customer6@example.com,43,Male,3,Organic
7,7394307045,customer7@example.com,43,Male,3,Organic
8,8542471587,customer8@example.com,35,Male,1,Google Ads
9,7776751170,customer9@example.com,38,Male,1,Referral
10,7553922023,customer10@example.com,29,Male,2,Organic
11,7425425571,customer11@example.com,55,Male,3,Organic
12,7036922449,customer12@example.com,31,Female,3,Organic
13,9283219832,customer13@example.com,49,Male,1,Organic
14,7671644241,customer14@example.com,56,Male,2,Organic
15,8350935816,customer15@example.com,52,Male,2,Instagram
16,9517644688,customer16@example.com,34,Female,3,Organic
17,8859520630,customer17@example.com,27,Female,3,Organic
18,8755101310,customer18@example.com,52,Female,1,Instagram
19,8675352791,customer19@example.com,33,Female,3,Influencer
20,8405135977,customer20@example.com,23,Male,3,Referral
21,9537790336,customer21@example.com,21,Female,1,Instagram
22,9674678223,customer22@example.com,26,Female,2,Google Ads
23,8490687436,customer23@example.com,46,Female,1,Instagram
24,8460092116,customer24@example.com,24,Male,2,Instagram
25,9913157934,customer25@example.com,33,Male,1,Organic
26,9324877776,customer26@example.com,23,Female,2,Google Ads
27,9777960334,customer27@example.com,20,Female,2,Google Ads
28,7953157765,customer28@example.com,31,Male,2,Organic
29,7164597726,customer29@example.com,31,Female,2,Organic
30,7006986947,customer30@example.com,26,Male,2,Google Ads
31,8185812709,customer31@example.com,53,Female,3,Google Ads
32,7660873941,customer32@example.com,40,Female,1,Organic
33,8852682166,customer33@example.com,32,Female,2,Google Ads
34,8387004528,customer34@example.com,24,Male,2,Influencer
35,7953678557,customer35@example.com,37,Female,2,Organic
36,8422515576,customer36@example.com,36,Male,2,Google Ads
37,7785292043,customer37@example.com,23,Other,1,Influencer
38,7884936539,customer38@example.com,56,Female,2,Google Ads
39,9103305300,customer39@example.com,18,Female,1,Instagram
40,7079716779,customer40@example.com,24,Female,3,Instagram
41,9640861510,customer41@example.com,52,Female,2,Organic
42,7611446072,customer42@example.com,42,Other,1,Google Ads
43,7383946308,customer43@example.com,55,Male,2,Google Ads
44,9385021808,customer44@example.com,40,Female,3,Google Ads
45,9877079260,customer45@example.com,42,Female,2,Organic
46,7094476755,customer46@example.com,55,Male,3,Google Ads
47,8154257802,customer47@example.com,28,Female,2,Google Ads
48,9270421726,customer48@example.com,51,Male,3,Google Ads
49,8052751564,customer49@example.com,48,Male,1,Organic
50,8233590393,customer50@example.com,55,Male,1,Google Ads
51,8908362927,customer51@example.com,29,Female,3,Organic
52,9709170771,customer52@example.com,26,Female,2,Google Ads
53,8358776812,customer53@example.com,30,Female,2,Instagram
54,9975989379,customer54@example.com,37,Male,2,Instagram
55,8227429028,customer55@example.com,38,Male,3,Organic
56,7491613636,customer56@example.com,39,Other,1,Google Ads
57,7605812948,customer57@example.com,18,Male,1,Instagram
58,9303540359,customer58@example.com,57,Other,2,Referral
59,7938478945,customer59@example.com,58,Female,3,Google Ads
60,7063142576,customer60@example.com,34,Female,3,Organic
61,8271983076,customer61@example.com,21,Female,2,Google Ads
62,9494647548,customer62@example.com,23,Male,2,Influencer
63,8107269759,customer63@example.com,36,Female,1,Instagram
64,8869471638,customer64@example.com,47,Male,3,Instagram
65,8065740089,customer65@example.com,40,Female,1,Google Ads
66,8594055270,customer66@example.com,49,Female,2,Google Ads
67,8059050527,customer67@example.com,46,Female,1,Organic
68,8504725459,customer68@example.com,25,Male,1,Organic
69,8068194935,customer69@example.com,38,Female,2,Instagram
70,9511308662,customer70@example.com,34,Female,2,Organic
71,7202233297,customer71@example.com,34,Female,2,Influencer
72,8706102359,customer72@example.com,38,Female,3,Google Ads
73,8437391257,customer73@example.com,32,Female,2,Instagram
74,8786176726,customer74@example.com,44,Female,1,Organic
75,8982951144,customer75@example.com,42,Female,2,Referral
76,8616457936,customer76@example.com,50,Female,1,Organic
77,8591798493,customer77@example.com,19,Female,1,Influencer
78,7572903308,customer78@example.com,59,Female,3,Referral
79,7245752503,customer79@example.com,33,Male,2,Google Ads
80,8569286010,customer80@example.com,53,Female,2,Referral
81,7886924368,customer81@example.com,25,Female,3,Google Ads
82,9178998968,customer82@example.com,33,Male,2,Organic
83,8823192445,customer83@example.com,24,Male,3,Referral
84,9660189150,customer84@example.com,22,Female,3,Google Ads
85,9212495893,customer85@example.com,40,Female,3,Organic
86,8651976670,customer86@example.com,25,Male,1,Referral
87,7073474935,customer87@example.com,20,Female,3,Instagram
88,9469634233,customer88@example.com,52,Male,1,Google Ads
89,8294463385,customer89@example.com,53,Male,3,Organic
90,9315145326,customer90@example.com,53,Male,1,Google Ads
91,9153533386,customer91@example.com,32,Female,3,Google Ads
92,9225538383,customer92@example.com,47,Male,2,Instagram
93,9114364593,customer93@example.com,32,Male,2,Organic
94,7198963292,customer94@example.com,46,Male,3,Organic
95,9842413911,customer95@example.com,21,Male,1,Instagram
96,9706470643,customer96@example.com,51,Male,2,Instagram
